user_id,video_id,is_click
10317,1230,1
487,7196,0
5156,2171,1
7611,1453,1
11124,526,0
13136,1723,1
14309,1412,1
3484,674,1
17131,594,0
19650,7150,0
4319,2464,1
4100,3442,1
17402,6524,0
20255,6094,0
11555,168,0
22577,1744,1
5390,6426,0
879,5177,0
12836,5920,0
21069,29,0
21659,6342,1
26200,3196,0
5839,2684,0
6777,5279,1
7027,4535,1
14924,4941,1
10691,4257,0
565,6831,0
16662,6866,1
8914,1285,1
25249,1976,1
15603,6989,0
20655,3528,0
16132,6589,0
14766,5047,1
17144,4185,1
18375,7219,0
20654,5565,0
23260,1810,1
22813,3363,1
20285,4640,0
5086,1298,0
25947,4063,0
2112,2630,1
14979,2963,1
2641,204,0
13263,5298,0
25143,909,1
4929,7335,1
10781,1059,0
25854,1725,0
11894,6774,1
15257,2303,0
3527,1575,0
10257,5965,1
23384,368,0
694,2332,1
22642,2532,0
16527,3208,0
21888,2544,1
7263,122,0
5467,2764,1
4683,1720,1
13779,6862,0
14070,6364,0
25825,2533,0
15266,5148,1
15198,2060,1
20478,5476,1
5367,5564,0
20723,7486,0
27084,2399,1
15889,1067,0
19316,3263,0
187,2004,1
11031,1059,1
3343,4112,0
8910,4172,1
2590,5390,1
23109,605,1
20334,4748,1
24123,2962,1
20636,2795,0
4329,5846,1
25388,5374,1
7287,2076,0
1978,4113,0
23727,5683,1
12609,2962,1
8692,7229,1
5350,3706,1
12398,988,0
24813,6132,0
12375,7307,0
6096,239,0
14909,5663,0
25345,38,0
25452,6946,1
19323,4332,1
1854,5279,0
24407,3578,0
8742,3273,1
3305,2878,0
24758,3018,1
3945,3681,0
26128,1754,1
20662,5633,0
7587,5875,1
7342,5246,1
19636,1014,0
12409,4163,0
7638,3551,0
20868,2307,0
14625,226,1
13326,2399,0
7939,6921,1
22093,4577,0
5238,5274,0
27247,627,1
4090,3603,0
26249,4710,0
5122,5868,0
15196,2309,1
23550,721,0
523,1419,1
12307,3018,0
18561,2249,0
23811,145,0
14338,3681,0
19806,5613,0
16919,2165,1
18283,5029,1
8272,909,0
12359,2679,1
12481,5005,0
7141,3232,1
22430,4934,0
15093,7358,0
210,3232,1
5376,5186,0
2449,6968,1
16865,5220,0
9953,5293,1
18502,2740,0
21965,2304,0
4844,6191,0
2044,4170,1
6641,2362,0
1733,7039,0
22056,3159,1
1463,5351,0
1886,2551,1
10429,3647,1
16633,3155,1
26482,154,0
19086,6019,0
26539,4506,1
22799,6426,1
20830,5665,0
14115,5603,1
20576,6507,0
23812,4771,0
4232,4479,0
26556,2347,1
12373,920,1
9047,6525,1
16277,1707,0
16484,3740,0
8478,682,0
1206,4162,1
15959,3210,0
11571,4580,0
804,1575,0
24270,1749,1
4027,2962,1
26770,5174,0
13416,647,0
24365,1744,0
9873,5410,0
6137,2981,0
25572,2254,0
19247,5060,0
15475,4420,0
16718,6396,0
23782,3574,1
7373,3238,0
1039,6718,0
12837,1957,1
1702,5474,0
4547,299,1
22137,682,1
14818,6971,0
9048,1387,1
15555,4646,0
7076,1729,0
11652,6565,1
2784,7231,1
6740,1754,0
25315,3441,1
4600,1342,0
18775,180,1
7846,3668,1
19755,1993,1
17261,4015,1
26699,2854,1
20739,6888,0
5963,1200,0
26157,750,1
3976,1976,0
14239,3493,0
18154,324,1
19589,5254,0
18069,5346,1
20556,4794,0
892,3159,1
7142,4277,0
6458,7299,1
20143,5148,1
18356,6236,1
1343,6574,0
15968,6390,0
21903,2524,1
11775,3989,1
12575,440,0
22128,5455,1
12790,3605,1
18982,3685,1
17186,6769,0
24015,4650,1
22337,3416,1
19599,6884,1
11705,6691,0
6196,1868,0
12431,2376,0
2162,1868,1
21917,6922,0
20726,4955,1
26856,5613,0
3931,1903,0
1924,6138,0
18688,377,0
23986,6975,1
14662,6132,0
12708,1964,1
4189,1833,0
6561,4336,1
9844,5849,1
22263,1184,0
22102,4644,1
16309,4737,0
5858,6692,0
8907,31,1
15200,5320,0
7984,7362,0
23222,5667,0
83,5675,1
1606,4564,0
13072,5464,1
24465,6135,1
4906,985,1
21651,7051,0
4307,4927,0
17260,3685,0
27275,356,0
3731,4172,1
26510,7372,0
