user_id,video_id_sequence
0,"1694,7531,4214,3978,160,6946"
1,"3128,1184,6328,5133"
2,"5664,5633,5809,1200,3913,4640,3650,6893,5087,1681,6943,2362,7273,4462,884,324,7423,1253,5894,1600,1342,1406,59,701"
3,"3871,2981,1079,1572,2684,2684,2678,3159,1103,6444"
4,"1014,6134,4672,2826,7136,5692,1035,5433"
5,"3270,454,299,3921,3654,2411,1419"
7,"5474,5474,509,1323,1749,7360,4532,2303,3113,5919,1193,2313,4231"
8,"4761,4761"
9,7196
10,"6478,3293,5567,6280,3020,2465,6978,6975"
11,"1707,4732"
13,"5507,3808,6778,2790,503,4640,4941,4941,7233"
14,2075
15,"4768,1634,7199,6678,4191,4734,2464,5047,559,6205,4194,3334,6252,1911,4415,2030,5809,31,1761,605,655,29,5759,6769"
16,"1090,2740,6205,4640,2986,985,706,4277,5239,5239,4856,7374,5975,5975,6476,4888,5244,6177,3348,263,239,4771,5175,3098,3098,1733"
17,5135
18,"6601,2004,6270,4603,4955,3391,6921"
19,"6732,3158"
21,"3970,4644,299,4656,5618,7167,3625,2586,7196,3182"
22,"6979,6441,1723,1015,5844,4851,3334,728,908"
23,"1725,5242,823,1729,3917,2501,5928,5928,509"
24,"6120,1761,4856,4894,5374,2360,6426,453,1481,3685,2208,4876,6574,2851"
25,"2951,1906,5720,2101,5943,2731,101,432,2811,7085,2473,2171,2171,3662,1600,2187"
26,"6063,780,5933,6286,7181,6471,4194,7160,3673,3577,4331,7110"
27,"5391,728,728,2751,3159,4644,5158,4570,5450,909,5199,2923,1717,7128,5386,1089,1741,2328,2873,180,791,1652,2848,3210,5771,2332,305,2795,3535,6346"
28,"3028,664,7150,6009"
29,"5774,4486,1670,5277,5975,5975,3154,2594,2166,5371,722,6942,5381,5259,2331,2399,5790,7180,5391,6775,3654"
30,"48,2684,4962,5852"
31,"1957,4172,220,3791,5371,688,3917,3363,1868,4734,2456,4113,1779,5603,212"
32,"3796,362,2962,197,3000,53,4332"
33,"3352,5513,2594,5928,5928,7160,804,453,1216,7136,3418,3334"
34,"408,4980,6093,5374,2332"
35,"2081,1868,5286,6478"
36,"1694,3590,2367,6600,4086,6794,1868,1206,708,7058,2313"
37,"368,7160"
38,"2594,6769,38,5522,4955,7486,7172,445,6492,5868,1744,2364,7172,7079"
39,"6435,2757,2826,7317,1014,2449,7219,1052,1052,6291,3846,6533"
40,"822,6921,7172,4082,2941,4506,1868"
41,"29,5000,6346,4506,3610"
42,3927
43,"3343,48"
44,"7159,5083"
45,"7358,6694,1537,278,668,2399,6967"
46,"1291,7181,6775,382,3936,1321,4634,747,4278,3685,1634,1634,2564,7160,180,7226,6471,4673,7043,7370,1861,3155,3032,6921,2041,5928,5928,5215,3505"
47,"309,6280,2995,5029,3519"
48,"7374,143,5633,3694"
49,"6818,3203,4672,3273,6870,2648,7242,3232,502,3028"
50,"1489,2618,7511,2653,1957,1660,1600,6932,3654,5766"
52,"5118,4646,1868"
53,"2395,5633,6191,3849,4277,6921,4631,5351,4640,2963,1376,5665,3155,3738,6237,4771,706,3627"
54,"299,2313,4980,7233,5010,5809,2328,1419,6303,2162,1538,1993"
55,"1879,985,4420,969,6231,780,6031,6061,1581,6225,4214,3504,6019,2871,3709,3369,918"
56,"2630,2456"
57,"1381,1725,4672,4276,7160,3483"
58,"5186,1544,7140,2201,6613,860,5239,156,5616,310,1755,6666,1842,5289,3831,2041,2405,5107,1725"
59,3232
60,"4971,5955,2032,1776,4113"
61,"5211,6303,1478,2399,6757,6757"
62,"7124,7474,6973,4313,3709,6789,4737,2452,4650,3112,6149,4955,1280,4906,2986,6769"
63,"4946,4927,2303,6715,605,3273,1868,3923,2962,6113,6626,5963,682,3106,1395,5392,7287,1861,6528,792,2949,6298,3239"
64,"2313,6095,4391,5331,6117,6406,6694,6384,7046,3685,5094,3275,5759,2871,5905,3913,435,5513,6319,6767,86,655,3984,1964,7020,145,4661,4631,7014,3371,5137,4715,5796,2537,1481,256,1723,642,2395,7466,4496,792,3159,6888,5109,2756,2508,2794,3143,5723,6591"
65,"2714,3025,4851,7064,5159,678,1146,6291,1934,2712,4631,5683,4927,1566,6694,5665,2171,6060,1717,6987,1868,4075,6769,2631,6774"
66,"4411,4673,5933,2186"
67,"2395,1458,2413,5678,5774"
68,"1723,2790,5759,4295,5456,7399,5239,3113,6769,2684,2684,2426,5392,3588,2700,5474,5474,6006,6006,6209,4055,4439,5481,1419,5683,1838,3054"
69,"4185,3567,3508,1174,3651,7099,1080,4644"
70,"6518,3721,3553,626,6510,2245,3844,1491,2171,204,4814"
71,"6625,3130,2644,5239,3325,3504,5639,6979,4904,845,1068,232,5110,5674,4339,3216,3315"
72,"975,5276,3324"
73,"4172,6346,2413,5456,3665,3504,5662,3913,3393,1723,7104,5014,5346,382,3574,4649,785,3647,2435,5239,650,3507,2712,6211,4894,6425,828,1886,1744,2464,1702,5374,7181,2208,6268,6989,3916,7235,2715,3102,2303,7370,2923,2941,119,2141,6364,1487,190,2527,4946,6774,1976,5602,1950,48,792,1080,747"
74,"977,2313,5510,3018,3844,2146"
75,"1323,1079,3891,4017,4734,4646,5494,4125,4910,1633,569,6425,2740,3199"
76,"3810,5338,3799,3279,4587,4910,5907,1879,4710,2286,5996,4275,5204,534,4734,5746,2681,4322,3328,7067,2544,1402,2010,1976,3018"
77,"3238,6087,6390,1957,940,2454,3769,1853,3921,7357,7357,627,3000,4955,1212,597,3685,1164,2115,53,1058,6626,1200,1639,7245,1757,5789,222,4496,5674,2076,5931"
79,"117,2573,843,2949,3969,5422,650,5034,445,5410,5545,6619,3159"
80,"7241,2359,697,4904,6413,3800,5252"
81,"6191,1200,5618,7466,4278,2790,2510,6769,1723,7336,2941,6303,5675,282"
82,"5679,2771,4161,6236,2618,3533,5612,1298,7072,2510,3315,6885,6120,5943,2207,1744"
83,"647,173,2287,5675,7212,4640,1754,5919,1749,1489,4498,4113,1825,1344,3670,2963,2399,3876,3936,7466,5351,2030,6268,6133,5872,6265,1308,2395,3647,5866,1707,5683,2551"
84,"2517,5876,4003,6415"
85,"3964,7474,5612,3763,4894,1695,7099,3339,6885,1621,5239,2790,6445,1939"
86,"4644,2383,849,207,6989,2399,235,235,6015,6883"
88,"419,419,6237,220,1264,985,2171,4644,3936,2963,4750"
90,"2004,6416"
91,"2383,6435,6435,7485,3436,5808,3391"
92,"2383,3982,4644,6291,3352,4833,2399,5639,4506"
94,"5286,6369,5566,1440,1694,1694,3430,2506,6009"
95,"5567,5296,1248"
96,"393,3959,3018,3680,3182,3182,4101,2684"
97,"219,2126,5926,1231"
98,"5978,985,128,6241,5872,7443,936,2660,4271,4945,4277,2871,2041"
99,"5538,2962,4751,4946,7260,4496,3442,4631,443,2257,3106,1707"
100,"119,1594,269,6832,3685,5759,605,4077,5239,5392,3001,1993,3763,4272,1458,3786,2148,7172,5866"
101,"6441,7105,6979,1033,3334"
102,"6910,3557,2980,5314,2004,4636,5633,7017,3018,3858,5683,2141,5826,4788,5618,4955"
104,"3570,1181,545,3673,722,3108,6369,5414,6280,3978,688,762,6831,4463,6300,2944,2995,5318,2604,2315,5934,6969,7105,7122"
105,"3232,3418,4750,1069,4906,6589"
106,"5354,2846,4642,1588"
107,"5507,6921,6552,4631,2981,49"
108,"682,3005,3018,7150,7233,6441,3391,4512,3917,6718,3941,3955"
109,"2772,1478,2806,419,419,6459,2962,6975,7065,3603"
110,"626,39,3159,3018,5400,49,1537,6712,4882,4636,4252,5561,6455,982,3425,2065,5346,5553"
111,"6916,1588,5753,1822,6052,2923,4927,1749,6019,5585,2962,4172,5928,5928,7287"
112,"1133,908,1694"
113,"395,7172,655,3310,5567,1868,1694"
114,"3999,2435,2435,5001,3136,3685,1788,7129,1964,7478,1200,3315"
115,"2368,6815,7336,4715,4171,2309,2260,4702,5392,5664,605,627,1723,6884,1489,333,333,1638,2160,501,6921,4870"
116,"2684,2684"
117,4210
